,,,,,,,,,,,,,,,,,,,
,,Table 1: Key ASPIRE indicators of  SPL system performance  (Post Transfer - No Adjustments),,,,,,,,,,,,,,,,,
,,Region,Country Code,Income Classification,Country,Year,Coverage   ,,"Benefit Incidence  
 (Poorest 20%)","Average transfer amount
($/day per capita, PPP) ",Adequacy ,,Gini Inequality reduction due to SPL (% of population),Poverty Headcount reduction due to SPL (% of population),Poverty Gap reduction due to SPL (% of population),Benefit- cost ratio of SPL programs,,,
,,,,,,, Poorest quintile, Total, Poorest quintile, Total, Poorest quintile, Total,,,,,,,
,*New survey*,ECS,ARM,Upper middle income,Armenia,2022,84.96,75.29,16.29,2.96,62.15,40.75,30.94,54.98,80.18,0.38,,,
,,ECS,AZE,Upper middle income,Azerbaijan,2015,72.31,64.64,17.27,0.31,3.93,2.57,2.22,6.42,16.09,0.33,,,
,,SAS,BGD,Lower middle income,Bangladesh,2005,22.52,13.98,15.36,0.69,25.60,27.67,3.44,10.87,31.93,0.28,,,
,,SAS,BGD,Lower middle income,Bangladesh,2010,26.88,19.63,8.73,0.31,5.40,9.12,0.65,5.36,9.90,0.16,,,
,,SAS,BGD,Lower middle income,Bangladesh,2016,55.75,41.35,14.75,0.19,4.36,4.27,0.66,3.78,8.29,0.23,,,
,*New survey*,SAS,BGD,Lower middle income,Bangladesh,2022,70.11,55.56,15.33,0.13,3.66,2.87,0.72,5.28,9.01,0.20,,,
,,ECS,BLR,Upper middle income,Belarus,2008,83.59,74.96,14.75,4.39,51.64,37.20,33.80,54.58,79.93,0.41,,,
,,ECS,BLR,Upper middle income,Belarus,2009,82.81,73.86,14.89,4.15,51.15,36.42,33.77,54.05,79.04,0.43,,,
,,ECS,BLR,Upper middle income,Belarus,2010,80.56,74.35,13.99,5.13,51.06,37.03,34.30,55.16,80.91,0.42,,,
,,ECS,BLR,Upper middle income,Belarus,2012,82.49,77.25,14.54,6.28,57.04,41.13,37.76,57.82,83.31,0.42,,,
,,ECS,BLR,Upper middle income,Belarus,2013,82.27,75.05,15.92,8.02,73.16,48.08,41.38,60.52,84.55,0.44,,,
,,ECS,BLR,Upper middle income,Belarus,2014,80.46,75.40,14.29,8.81,66.34,47.97,41.36,60.93,85.47,0.43,,,
,,ECS,BLR,Upper middle income,Belarus,2015,79.10,75.37,13.11,8.93,65.61,50.90,42.76,62.32,86.09,0.44,,,
,,ECS,BLR,Upper middle income,Belarus,2016,78.68,76.35,16.91,11.56,118.16,72.38,53.37,66.74,89.85,0.44,,,
,,ECS,BLR,Upper middle income,Belarus,2017,80.06,76.42,13.09,8.18,63.62,51.53,45.41,63.45,87.97,0.45,,,
,,ECS,BLR,Upper middle income,Belarus,2018,76.07,73.34,14.08,8.61,66.85,50.07,44.12,62.80,86.23,0.46,,,
,,ECS,BLR,Upper middle income,Belarus,2019,76.40,71.85,14.15,9.55,69.16,53.01,45.41,62.57,86.57,0.47,,,
,,LCN,BLZ,Upper middle income,Belize,2009,42.06,39.41,18.94,0.64,53.07,23.35,2.78,10.71,28.10,0.26,,,
,,SSF,BEN,Lower middle income,Benin,2003,3.60,6.63,2.47,1.64,34.64,39.49,0.03,6.69,17.50,0.12,,,
,,SSF,BEN,Lower middle income,Benin,2018,9.17,10.53,0.53,2.15,32.43,22.62,-0.52,0.93,2.33,0.05,,,
,*New survey*,SSF,BEN,Lower middle income,Benin,2021,5.41,8.66,0.72,1.30,21.71,17.95,-0.28,1.36,2.07,0.07,,,
,,SAS,BTN,Lower middle income,Bhutan,2007,2.76,2.40,15.29,0.06,3.03,2.10,0.01,0.14,0.19,0.22,,,
,,SAS,BTN,Lower middle income,Bhutan,2012,4.12,2.92,1.31,0.97,17.20,27.64,0.17,0.77,2.18,0.18,,,
,,SAS,BTN,Lower middle income,Bhutan,2017,2.89,2.86,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
,*New survey*,SAS,BTN,Lower middle income,Bhutan,2022,4.72,8.97,2.42,2.69,17.45,14.38,0.12,1.65,1.85,0.07,,,
,,LCN,BOL,Lower middle income,Bolivia,2006,6.93,16.14,1.63,4.81,44.04,27.63,0.96,9.38,10.32,0.05,,,
,,LCN,BOL,Lower middle income,Bolivia,2007,72.61,58.35,2.05,1.37,36.67,26.67,1.24,12.13,14.59,0.07,,,
,,LCN,BOL,Lower middle income,Bolivia,2008,84.88,73.44,14.67,1.86,55.84,17.39,6.63,23.52,37.17,0.18,,,
,,LCN,BOL,Lower middle income,Bolivia,2009,90.20,79.08,14.64,1.93,58.85,17.23,7.10,25.59,36.39,0.18,,,
,,LCN,BOL,Lower middle income,Bolivia,2011,88.35,76.48,14.58,1.16,36.95,13.26,5.84,20.45,33.23,0.18,,,
,,LCN,BOL,Lower middle income,Bolivia,2012,88.47,76.75,14.73,1.17,38.26,12.88,5.60,20.64,30.57,0.18,,,
,,LCN,BOL,Lower middle income,Bolivia,2014,89.31,78.06,8.09,1.29,13.36,8.41,2.11,10.98,18.36,0.12,,,
,,LCN,BOL,Lower middle income,Bolivia,2015,87.61,76.42,8.28,1.32,13.80,8.43,2.00,11.82,19.30,0.13,,,
,,LCN,BOL,Lower middle income,Bolivia,2016,90.15,84.33,7.12,1.50,13.83,9.71,1.63,11.23,17.62,0.11,,,
,,LCN,BOL,Lower middle income,Bolivia,2017,90.86,83.02,9.94,1.59,19.08,10.16,2.88,12.45,23.52,0.15,,,
,,LCN,BOL,Lower middle income,Bolivia,2018,90.54,83.61,8.99,1.70,16.28,10.79,2.24,12.23,23.37,0.14,,,
,,LCN,BOL,Lower middle income,Bolivia,2019,89.59,77.99,6.08,2.04,11.51,12.31,1.62,14.24,23.03,0.12,,,
,,LCN,BOL,Lower middle income,Bolivia,2020,99.62,97.99,8.55,1.96,19.32,10.63,4.99,23.96,33.56,0.15,,,
,*New survey*,LCN,BOL,Lower middle income,Bolivia,2021,99.34,96.94,9.77,1.72,17.13,9.43,3.80,20.44,31.16,0.15,,,
,,ECS,BIH,Upper middle income,Bosnia and Herzegovina,2007,57.27,57.62,12.41,3.90,30.16,17.87,9.44,30.80,47.54,0.23,,,
,,ECS,BIH,Upper middle income,Bosnia and Herzegovina,2015,52.65,50.35,11.78,6.19,44.99,32.45,16.11,42.54,62.17,0.29,,,
,,SSF,BWA,Upper middle income,Botswana,2009,91.63,73.77,12.82,0.69,22.53,9.53,3.92,20.02,38.36,0.19,,,
,,SSF,BWA,Upper middle income,Botswana,2015,65.57,55.44,7.90,1.13,31.43,26.05,4.54,24.43,40.31,0.16,,,
,,LCN,BRA,Upper middle income,Brazil,2006,67.57,53.93,1.50,4.80,66.32,46.67,5.25,32.38,44.74,0.08,,,
,,LCN,BRA,Upper middle income,Brazil,2009,33.87,45.46,2.48,6.57,46.35,40.97,7.53,36.31,50.82,0.11,,,
,,LCN,BRA,Upper middle income,Brazil,2011,35.94,45.34,2.64,6.80,42.82,40.60,8.55,37.77,52.26,0.13,,,
,,LCN,BRA,Upper middle income,Brazil,2012,36.77,46.38,2.86,7.11,42.82,39.47,9.14,38.62,53.84,0.14,,,
,,LCN,BRA,Upper middle income,Brazil,2015,68.30,53.81,4.16,6.71,36.09,44.76,10.32,41.56,57.43,0.15,,,
,,LCN,BRA,Upper middle income,Brazil,2016,68.86,50.75,4.31,7.46,36.38,40.80,7.82,37.37,51.42,0.12,,,
,,LCN,BRA,Upper middle income,Brazil,2017,67.52,50.49,4.26,7.72,38.71,41.30,7.97,37.38,51.10,0.12,,,
,,LCN,BRA,Upper middle income,Brazil,2018,68.46,50.93,3.99,8.14,37.81,41.80,7.91,38.48,51.54,0.12,,,
,,LCN,BRA,Upper middle income,Brazil,2019,67.50,50.53,3.82,8.30,37.27,42.33,7.85,37.65,50.24,0.11,,,
,,LCN,BRA,Upper middle income,Brazil,2020,84.24,69.15,9.15,6.97,56.83,41.91,16.47,52.57,69.86,0.23,,,
,*New survey*,LCN,BRA,Upper middle income,Brazil,2021,67.64,52.55,4.67,6.42,38.33,39.82,7.89,37.72,48.49,0.12,,,
,*New survey*,LCN,BRA,Upper middle income,Brazil,2022,69.64,52.26,6.24,7.49,47.13,41.43,9.99,40.87,57.71,0.16,,,
,,ECS,BGR,High income,Bulgaria,2007,86.93,73.61,18.18,3.77,53.88,32.19,28.08,51.14,72.23,0.39,,,
,,SSF,BFA,Low income,Burkina Faso,2003,31.49,34.27,2.71,0.19,106.05,50.21,1.04,6.76,19.06,0.15,,,
,,SSF,BFA,Low income,Burkina Faso,2009,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
,,SSF,BFA,Low income,Burkina Faso,2014,1.83,4.28,1.50,1.03,32.18,17.15,-0.41,0.82,1.39,0.03,,,
,,SSF,BFA,Low income,Burkina Faso,2018,11.03,18.40,0.04,1.16,0.67,13.91,-0.75,0.43,0.45,0.01,,,
,*New survey*,SSF,BFA,Low income,Burkina Faso,2021,47.06,42.93,0.05,1.06,1.25,12.44,-0.52,0.55,0.39,0.02,,,
,*New survey*,SSF,BDI,Low income,Burundi,2019,11.49,9.19,0.23,0.51,8.26,1.18,0.01,0.20,0.12,0.01,,,
,,SSF,CPV,Lower middle income,Cabo Verde,2007,33.83,29.68,7.59,1.29,20.25,14.74,2.20,14.50,28.31,0.17,,,
,,EAS,KHM,Lower middle income,Cambodia,2008,1.34,2.65,1.49,0.54,3.86,6.39,0.01,0.81,0.91,0.09,,,
,,EAS,KHM,Lower middle income,Cambodia,2013,0.92,3.09,0.10,0.71,1.56,12.54,-0.06,1.48,1.40,0.09,,,
,,SSF,CMR,Lower middle income,Cameroon,2007,1.14,4.04,1.63,1.64,32.71,26.93,0.22,3.34,7.86,0.10,,,
,,SSF,CMR,Lower middle income,Cameroon,2014,1.05,5.01,0.72,0.23,2.91,3.13,0.00,0.12,0.42,0.04,,,
,*New survey*,SSF,CMR,Lower middle income,Cameroon,2021,13.95,12.65,0.82,0.49,4.54,5.69,-0.12,0.26,0.32,0.02,,,
,,SSF,CAF,Low income,Central African Republic,2008,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
,,SSF,TCD,Low income,Chad,2011,0.73,2.97,1.58,1.21,41.18,24.52,0.49,2.52,4.70,0.13,,,
,*New survey*,SSF,TCD,Low income,Chad,2018,7.23,9.22,6.52,0.57,42.59,9.84,-0.07,0.32,0.99,0.07,,,
,*New survey*,SSF,TCD,Low income,Chad,2022,6.98,11.28,8.56,0.74,97.94,9.98,-0.08,0.24,1.05,0.08,,,
,,LCN,CHL,High income,Chile,2006,96.32,89.69,7.93,1.67,23.08,18.72,5.97,27.82,44.26,0.19,,,
,,LCN,CHL,High income,Chile,2009,96.51,90.44,9.97,1.97,25.38,17.54,7.73,33.01,50.80,0.24,,,
,,LCN,CHL,High income,Chile,2011,95.84,83.43,9.77,1.91,22.17,18.12,6.58,28.34,45.56,0.23,,,
,,LCN,CHL,High income,Chile,2013,96.34,88.54,9.46,1.96,20.29,18.76,6.95,28.33,43.53,0.20,,,
,,LCN,CHL,High income,Chile,2015,94.16,87.72,7.59,1.67,14.93,15.26,2.33,16.34,25.26,0.12,,,
,,LCN,CHL,High income,Chile,2017,97.68,92.42,9.19,3.45,18.65,17.76,7.40,32.47,47.28,0.19,,,
,,LCN,CHL,High income,Chile,2020,88.93,77.74,11.07,4.53,29.89,23.70,11.09,41.69,56.69,0.23,,,
