"country_code","country","region","income_class","year","uct_pq","uct_total","cct_pq","cct_total","poverty_gap_reduction"
"BTN","Bhutan","SAS","Lower middle income",2007,NA,NA,NA,NA,0.186308916647369
"BTN","Bhutan","SAS","Lower middle income",2012,NA,NA,NA,NA,2.17676339610391
"BTN","Bhutan","SAS","Lower middle income",2022,NA,NA,NA,NA,1.84841601717682
"BOL","Bolivia","LCN","Lower middle income",2006,NA,NA,NA,NA,10.3205462058927
"BOL","Bolivia","LCN","Lower middle income",2007,NA,NA,67.7700510357061,44.6981208878881,14.5898068376149
"BOL","Bolivia","LCN","Lower middle income",2008,12.7235574652467,17.8197932023528,71.6675141032881,50.3368013704885,37.1664446907475
"BOL","Bolivia","LCN","Lower middle income",2009,12.601616016908,18.5800009298154,74.9904066214974,53.4819373538379,36.3918581415897
"BOL","Bolivia","LCN","Lower middle income",2011,NA,NA,74.9619216713539,55.2641373951582,33.2285543123235
"BOL","Bolivia","LCN","Lower middle income",2012,NA,NA,70.6778214468466,53.6364679185243,30.5681790841477
"BOL","Bolivia","LCN","Lower middle income",2014,NA,NA,76.7344874037361,61.002932332084,18.3555300476733
"BOL","Bolivia","LCN","Lower middle income",2015,NA,NA,73.124320565977,58.4345609710942,19.3024572347514
"BOL","Bolivia","LCN","Lower middle income",2016,NA,NA,75.8734386652926,59.2847068921544,17.6181904003192
"BOL","Bolivia","LCN","Lower middle income",2017,NA,NA,73.6579337572598,57.6682512790673,23.5187520301814
"BOL","Bolivia","LCN","Lower middle income",2018,NA,NA,74.5535607880317,57.3269785122301,23.372918967701
"BOL","Bolivia","LCN","Lower middle income",2019,NA,NA,76.3460258650974,57.1116802180604,23.0336198569715
"BOL","Bolivia","LCN","Lower middle income",2020,99.3092167003928,96.0328260564556,73.1899805852141,54.143374488663,33.5615519704561
"BOL","Bolivia","LCN","Lower middle income",2021,83.7620787397329,81.7121360836046,77.1863909214389,56.9697834807716,31.155835469662
"BIH","Bosnia and Herzegovina","ECS","Upper middle income",2007,11.4960038687114,6.66975561898017,NA,NA,47.5432623080796
"BIH","Bosnia and Herzegovina","ECS","Upper middle income",2015,11.9641605729252,5.12097220524563,NA,NA,62.1710692396267
"BWA","Botswana","SSF","Upper middle income",2009,32.5465728816172,21.4092194595951,NA,NA,38.3603466256319
"BWA","Botswana","SSF","Upper middle income",2015,NA,NA,NA,NA,40.3084467714111
"BRA","Brazil","LCN","Upper middle income",2006,NA,NA,55.4591038736885,21.6810699529237,44.7449864859768
"BRA","Brazil","LCN","Upper middle income",2009,NA,NA,21.4035002621647,15.4997795674668,50.8201207124861
"BRA","Brazil","LCN","Upper middle income",2011,NA,NA,23.1983597987756,16.6056880649611,52.2605538677772
"BRA","Brazil","LCN","Upper middle income",2012,NA,NA,23.3109247424155,17.2451713472132,53.8393868792273
"BRA","Brazil","LCN","Upper middle income",2015,NA,NA,56.4688794497088,20.5254129423511,57.431411755663
"BRA","Brazil","LCN","Upper middle income",2016,NA,NA,59.9022710912402,19.7093509796793,51.4184490338074
"BRA","Brazil","LCN","Upper middle income",2017,NA,NA,57.8672663796432,18.686986076148,51.1039497675334
"BRA","Brazil","LCN","Upper middle income",2018,NA,NA,59.1697881690725,18.6491822441849,51.5417033600716
"BRA","Brazil","LCN","Upper middle income",2019,NA,NA,58.2751221045186,18.2692047055622,50.2366833000783
"BRA","Brazil","LCN","Upper middle income",2020,62.9821050712837,45.8086206836086,20.5076280869976,5.9483396635879,69.863111556305
"BRA","Brazil","LCN","Upper middle income",2021,32.8733077922864,17.8674365740435,34.3848988914422,11.5311459041121,48.4865648358831
"BRA","Brazil","LCN","Upper middle income",2022,5.33842387461325,3.53365894562196,60.2751894624303,22.7314990513269,57.7082938476416
"BGR","Bulgaria","ECS","High income",2007,40.8606556584602,24.2466425697588,NA,NA,72.2318810076998
"BFA","Burkina Faso","SSF","Low income",2003,1.43537087985739,3.77712804494214,NA,NA,19.0601645300491
"BFA","Burkina Faso","SSF","Low income",2014,1.41688246391354,0.925884781291515,NA,NA,1.38911042533868
"BFA","Burkina Faso","SSF","Low income",2018,NA,NA,NA,NA,0.446422948917748
"BFA","Burkina Faso","SSF","Low income",2021,5.11192839348267,3.03345742121089,NA,NA,0.394790243269089
"BDI","Burundi","SSF","Low income",2019,NA,NA,NA,NA,0.12455037743776
"CPV","Cabo Verde","SSF","Lower middle income",2007,NA,NA,NA,NA,28.3088838310807
"KHM","Cambodia","EAS","Lower middle income",2008,NA,NA,NA,NA,0.909785106328993
"KHM","Cambodia","EAS","Lower middle income",2013,NA,NA,NA,NA,1.39588763175927
"CMR","Cameroon","SSF","Lower middle income",2007,NA,NA,NA,NA,7.86192649498284
"CMR","Cameroon","SSF","Lower middle income",2014,NA,NA,NA,NA,0.424781780479136
"CMR","Cameroon","SSF","Lower middle income",2021,5.66854535415329,2.49595697237177,NA,NA,0.323127301146868
"TCD","Chad","SSF","Low income",2011,NA,NA,NA,NA,4.69890774644373
"TCD","Chad","SSF","Low income",2018,NA,NA,NA,NA,0.994475301296513
"TCD","Chad","SSF","Low income",2022,2.10041533033769,2.12142762405454,NA,NA,1.04683830597743
"CHL","Chile","LCN","High income",2006,25.6441260951587,26.3538608482712,26.40405721992,10.0691248076915,44.2587027389754
"CHL","Chile","LCN","High income",2009,63.5102240491799,44.6837939572455,26.4220662330101,12.1722011956025,50.8041073128353
